Tue, 01 Jun 10 23:45:21 +0300 select * from  person left join extrnalview on person.id = extrnalview.p_id where   and dorYesharim = 'חח9879ןח0'))
Tue, 01 Jun 10 23:50:59 +0300 select * from  person left join extrnalview on person.id = extrnalview.p_id where   and dorYesharim = 'חח9879ןח0'))
Thu, 03 Jun 10 20:29:37 +0300 select * from  person left join extrnalview on person.id = extrnalview.p_id where   and dorYesharim = 'חח9879ןח0'
Thu, 03 Jun 10 21:11:45 +0300 select * from  person left join extrnalview on person.id = extrnalview.p_id where   and dorYesharim = 'חח9879ןח0'
Thu, 03 Jun 10 21:12:05 +0300 select * from  person left join extrnalview on person.id = extrnalview.p_id where   and dorYesharim = 'חח9879ןח0'  and dorYesharim = 'חח9879ןח0'
Thu, 03 Jun 10 21:12:23 +0300 select * from  person left join extrnalview on person.id = extrnalview.p_id where   and dorYesharim = 'חח9879ןח0'  and dorYesharim = 'חח9879ןח0'
Thu, 03 Jun 10 21:13:10 +0300 select * from  person left join extrnalview on person.id = extrnalview.p_id where   and dorYesharim = 'חח9879ןח0'
Thu, 03 Jun 10 21:13:28 +0300 select * from  person left join extrnalview on person.id = extrnalview.p_id where   and dorYesharim = 'חח9879ןח0'
Thu, 03 Jun 10 21:13:49 +0300 select * from  person left join extrnalview on person.id = extrnalview.p_id where   and dorYesharim = 'חח9879ןח0'
Thu, 03 Jun 10 21:14:08 +0300 select * from  person left join extrnalview on person.id = extrnalview.p_id where   and dorYesharim = 'חח9879ןח0'
Thu, 03 Jun 10 21:15:12 +0300 select * from  person left join extrnalview on person.id = extrnalview.p_id where   and dorYesharim = 'חח9879ןח0'
Thu, 03 Jun 10 21:16:34 +0300 select * from  person left join extrnalview on person.id = extrnalview.p_id where   and dorYesharim = 'חח9879ןח0'
Thu, 03 Jun 10 21:17:00 +0300 select * from  person left join extrnalview on person.id = extrnalview.p_id where   and dorYesharim = 'חח9879ןח0'
Mon, 07 Jun 10 22:37:25 +0300 select * from  person left join extrnalview on person.id = extrnalview.p_id where age > 15 and age < 36  and gender = 'male' 
Mon, 07 Jun 10 22:40:14 +0300 select * from  person left join extrnalview on person.id = extrnalview.p_id where age > 15 and age < 36  and gender = 'male' 
Mon, 07 Jun 10 22:52:41 +0300 select * from  person left join extrnalview on person.id = extrnalview.p_id where age > 15 and age < 36  and gender = 'male' 
Mon, 07 Jun 10 22:53:30 +0300 select * from  person left join extrnalview on person.id = extrnalview.p_id where age > 15 and age < 36  and gender = 'male' 
Mon, 07 Jun 10 22:53:49 +0300 select * from  person left join extrnalview on person.id = extrnalview.p_id where age > 15 and age < 36  and gender = 'male' 
Mon, 07 Jun 10 22:55:22 +0300 select * from  person left join extrnalview on person.id = extrnalview.p_id where age > 15 and age < 36  and gender = 'male' 
Mon, 07 Jun 10 22:56:44 +0300 select * from  person left join extrnalview on person.id = extrnalview.p_id where age > 15 and age < 36  and gender = 'male' 
Mon, 07 Jun 10 22:57:14 +0300 select * from  person left join extrnalview on person.id = extrnalview.p_id where age > 15 and age < 36  and gender = 'male' 
Mon, 07 Jun 10 22:58:00 +0300 select * from  person left join extrnalview on person.id = extrnalview.p_id where age > 15 and age < 36  and gender = 'male' 
Mon, 07 Jun 10 23:00:26 +0300 select *,person.id as qid from  person left join extrnalview on person.id = extrnalview.p_id where age > 15 and age < 36  and gender = 'male' 
Mon, 07 Jun 10 23:05:16 +0300 select *,person.id as qid from  person left join extrnalview on person.id = extrnalview.p_id where age > 15 and age < 36  and gender = 'male' 
Mon, 07 Jun 10 23:07:00 +0300 select *,person.id as qid from  person left join extrnalview on person.id = extrnalview.p_id where age > 15 and age < 36  and gender = 'male' 
Mon, 07 Jun 10 23:12:23 +0300 select *,person.id as qid from  person left join extrnalview on person.id = extrnalview.p_id where age > 15 and age < 36  and gender = 'male' 
Mon, 07 Jun 10 23:14:35 +0300 select *,person.id as qid from  person left join extrnalview on person.id = extrnalview.p_id where age > 20 and age < 30  and gender = 'male' 
Mon, 07 Jun 10 23:15:25 +0300 select *,person.id as qid from  person left join extrnalview on person.id = extrnalview.p_id where( flow = 'litai' or flow = 'hasid')
Mon, 07 Jun 10 23:16:36 +0300 select *,person.id as qid from  person left join extrnalview on person.id = extrnalview.p_id where origin = 'יד עזרה'
Tue, 15 Jun 10 20:07:23 +0300 select *,person.id as qid from  person left join extrnalview on person.id = extrnalview.p_id where age > 15 and age < 30 
Tue, 15 Jun 10 20:07:42 +0300 select *,person.id as qid from  person left join extrnalview on person.id = extrnalview.p_id where age > 15 and age < 30 
Tue, 15 Jun 10 20:08:28 +0300 select *,person.id as qid from  person left join extrnalview on person.id = extrnalview.p_id where age > 15 and age < 30 
Tue, 15 Jun 10 20:14:37 +0300 select *,person.id as qid from  person left join extrnalview on person.id = extrnalview.p_id where age > 15 and age < 30 
Tue, 15 Jun 10 20:26:25 +0300 select *,person.id as qid from  person left join extrnalview on person.id = extrnalview.p_id where age > 15 and age < 30 
Tue, 15 Jun 10 20:28:12 +0300 select *,person.id as qid from  person left join extrnalview on person.id = extrnalview.p_id where age > 15 and age < 30 
Tue, 15 Jun 10 20:28:42 +0300 select *,person.id as qid from  person left join extrnalview on person.id = extrnalview.p_id where age > 15 and age < 30 
Tue, 15 Jun 10 20:33:30 +0300 select *,person.id as qid from  person left join extrnalview on person.id = extrnalview.p_id where age > 15 and age < 30 
Tue, 15 Jun 10 20:34:31 +0300 select *,person.id as qid from  person left join extrnalview on person.id = extrnalview.p_id where age > 15 and age < 30 
Tue, 15 Jun 10 20:36:28 +0300 select *,person.id as qid from  person left join extrnalview on person.id = extrnalview.p_id where age > 15 and age < 30 
Tue, 15 Jun 10 21:02:48 +0300 select *,person.id as qid from  person left join extrnalview on person.id = extrnalview.p_id where age > 18 
Tue, 15 Jun 10 21:04:01 +0300 select *,person.id as qid from  person left join extrnalview on person.id = extrnalview.p_id where age > 18 and age < 19 
Tue, 15 Jun 10 21:04:11 +0300 select *,person.id as qid from  person left join extrnalview on person.id = extrnalview.p_id where age > 17 and age < 19 
Tue, 15 Jun 10 21:28:13 +0300 select *,person.id as qid from  person left join extrnalview on person.id = extrnalview.p_id where age > 30 and age < 32  and gender = 'male' 
Tue, 15 Jun 10 21:31:03 +0300 select *,person.id as qid from  person left join extrnalview on person.id = extrnalview.p_id where age > 30 and age < 32 
Wed, 07 Jul 10 14:39:39 +0300 select *,person.id as qid from  person left join extrnalview on person.id = extrnalview.p_id where  
Sun, 11 Jul 10 21:02:34 +0300 select *,person.id as qid from  person left join extrnalview on person.id = extrnalview.p_id where  
Mon, 12 Jul 10 22:21:44 +0300 select *,person.id as qid from  person left join extrnalview on person.id = extrnalview.p_id where gender = 'female' 
Mon, 12 Jul 10 22:22:07 +0300 select *,person.id as qid from  person left join extrnalview on person.id = extrnalview.p_id where gender = 'male' 
Tue, 13 Jul 10 21:44:02 +0300 select *,person.id as qid from  person left join extrnalview on person.id = extrnalview.p_id where  
Wed, 28 Jul 10 21:02:52 +0300 select *,person.id as qid from  person left join extrnalview on person.id = extrnalview.p_id where age > 10 and age < 100  and gender = 'male' 
Wed, 28 Jul 10 21:03:10 +0300 select *,person.id as qid from  person left join extrnalview on person.id = extrnalview.p_id where gender = 'male' 
